data;
param n := 75;
param m := 30;
param t :=
    1 23
    2 24
    3 25
    4 26
    5 23
    6 22
    7 6
    8 22
    9 23
    10 21
    11 22
    12 15
    13 5
    14 23
    15 4
    16 26
    17 21
    18 5
    19 24
    20 25
    21 26
    22 26
    23 24
    24 27
    25 20
    26 23
    27 25
    28 13
    29 3
    30 11
    31 21
    32 22
    33 21
    34 22
    35 25
    36 8
    37 22
    38 24
    39 22
    40 21
    41 6
    42 26
    43 22
    44 6
    45 21
    46 25
    47 11
    48 22
    49 21
    50 25
    51 22
    52 22
    53 23
    54 22
    55 22
    56 25
    57 23
    58 21
    59 22
    60 22
    61 22
    62 22
    63 21
    64 27
    65 23
    66 2
    67 26
    68 25
    69 24
    70 22
    71 24
    72 4
    73 22
    74 10
    75 25;
set A :=
    (1, 2)
    (1, 3)
    (1, 4)
    (1, 5)
    (1, 6)
    (1, 7)
    (2, 15)
    (3, 13)
    (3, 24)
    (4, 8)
    (4, 14)
    (4, 16)
    (5, 12)
    (5, 15)
    (6, 9)
    (6, 10)
    (6, 11)
    (6, 13)
    (9, 20)
    (9, 24)
    (10, 18)
    (12, 19)
    (13, 22)
    (15, 17)
    (15, 20)
    (15, 23)
    (16, 21)
    (16, 26)
    (17, 30)
    (18, 26)
    (18, 30)
    (20, 27)
    (21, 33)
    (24, 25)
    (25, 28)
    (25, 30)
    (25, 33)
    (25, 34)
    (26, 31)
    (26, 32)
    (26, 41)
    (27, 29)
    (27, 35)
    (27, 36)
    (31, 37)
    (31, 39)
    (32, 44)
    (32, 45)
    (33, 41)
    (35, 38)
    (35, 42)
    (36, 40)
    (36, 43)
    (39, 51)
    (40, 46)
    (42, 47)
    (43, 48)
    (43, 50)
    (46, 51)
    (46, 48)
    (47, 49)
    (47, 50)
    (47, 52)
    (47, 53)
    (49, 59)
    (49, 61)
    (49, 62)
    (50, 54)
    (50, 55)
    (50, 60)
    (50, 62)
    (52, 56)
    (52, 57)
    (53, 58)
    (55, 63)
    (58, 65)
    (59, 64)
    (59, 66)
    (62, 67)
    (66, 68)
    (68, 69)
    (68, 70)
    (68, 71)
    (68, 72)
    (68, 73)
    (68, 74)
    (68, 75);
end;
